name,album_name,popularity,release_date,valence,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,duration_ms,year
Senjutsu,Senjutsu,43,2021-09-03,0.466,0.347,0.885,9,-6.121,0,0.0615,0.000171,0.0892,0.217,180.172,500171,2021
Stratego,Senjutsu,44,2021-09-03,0.465,0.473,0.968,4,-7.297,0,0.0642,0.000144,0.0347,0.612,138.054,299946,2021
The Writing On The Wall,Senjutsu,49,2021-09-03,0.566,0.402,0.912,2,-5.447,0,0.0442,0.00158,0.000179,0.0923,90.045,373899,2021
Lost In A Lost World,Senjutsu,42,2021-09-03,0.206,0.251,0.871,4,-6.414,0,0.0871,0.00407,0.00751,0.108,92.975,571584,2021
Days Of Future Past,Senjutsu,46,2021-09-03,0.476,0.433,0.92,4,-4.738,0,0.0409,0.000576,5.5e-05,0.123,92.466,243755,2021
The Time Machine,Senjutsu,40,2021-09-03,0.316,0.297,0.889,9,-5.287,0,0.0607,0.00654,0.000211,0.118,116.65,429444,2021
Darkest Hour,Senjutsu,40,2021-09-03,0.162,0.222,0.925,4,-5.939,0,0.24,0.0542,0.0863,0.395,133.772,440465,2021
Death Of The Celts,Senjutsu,38,2021-09-03,0.26,0.291,0.804,2,-5.807,1,0.0414,0.00711,0.21,0.12,134.561,620403,2021
The Parchment,Senjutsu,40,2021-09-03,0.212,0.149,0.924,4,-5.345,0,0.0933,0.0141,0.219,0.107,80.234,758991,2021
Hell On Earth,Senjutsu,40,2021-09-03,0.0628,0.298,0.842,4,-6.692,0,0.0563,0.00952,0.0299,0.0846,132.65,679135,2021
Senjutsu,Senjutsu,57,2021-09-03,0.466,0.347,0.885,9,-6.121,0,0.0615,0.000171,0.0892,0.217,180.172,500171,2021
Stratego,Senjutsu,57,2021-09-03,0.465,0.473,0.968,4,-7.297,0,0.0642,0.000144,0.0347,0.612,138.054,299946,2021
The Writing On The Wall,Senjutsu,63,2021-09-03,0.566,0.402,0.912,2,-5.447,0,0.0442,0.00158,0.000179,0.0923,90.045,373899,2021
Lost In A Lost World,Senjutsu,56,2021-09-03,0.206,0.251,0.871,4,-6.414,0,0.0871,0.00407,0.00751,0.108,92.975,571584,2021
Days Of Future Past,Senjutsu,59,2021-09-03,0.476,0.433,0.92,4,-4.738,0,0.0409,0.000576,5.5e-05,0.123,92.466,243755,2021
The Time Machine,Senjutsu,54,2021-09-03,0.316,0.297,0.889,9,-5.287,0,0.0607,0.00654,0.000211,0.118,116.65,429444,2021
Darkest Hour,Senjutsu,54,2021-09-03,0.162,0.222,0.925,4,-5.939,0,0.24,0.0542,0.0863,0.395,133.772,440465,2021
Death Of The Celts,Senjutsu,52,2021-09-03,0.26,0.291,0.804,2,-5.807,1,0.0414,0.00711,0.21,0.12,134.561,620403,2021
The Parchment,Senjutsu,54,2021-09-03,0.212,0.149,0.924,4,-5.345,0,0.0933,0.0141,0.219,0.107,80.234,758991,2021
Hell On Earth,Senjutsu,54,2021-09-03,0.0628,0.298,0.842,4,-6.692,0,0.0563,0.00952,0.0299,0.0846,132.65,679135,2021
"Churchill’s Speech - Live in Mexico City, Palacio de los Deportes, Mexico, September 2019","Nights of the Dead, Legacy of the Beast: Live in Mexico City",20,2020-11-20,0.0394,0.338,0.904,5,-12.851,0,0.161,0.433,0.134,0.91,85.128,38827,2020
"Aces High - Live in Mexico City, Palacio de los Deportes, Mexico, September 2019","Nights of the Dead, Legacy of the Beast: Live in Mexico City",21,2020-11-20,0.0704,0.273,0.997,7,-4.956,1,0.126,0.00768,0.0469,0.852,127.267,298789,2020
"Where Eagles Dare - Live in Mexico City, Palacio de los Deportes, Mexico, September 2019","Nights of the Dead, Legacy of the Beast: Live in Mexico City",20,2020-11-20,0.101,0.237,0.996,9,-4.678,1,0.14,0.000254,0.102,0.713,113.782,312688,2020
"2 Minutes To Midnight - Live in Mexico City, Palacio de los Deportes, Mexico, September 2019","Nights of the Dead, Legacy of the Beast: Live in Mexico City",19,2020-11-20,0.166,0.219,0.994,9,-5.088,0,0.111,0.00124,0.00366,0.944,96.345,354165,2020
"The Clansman - Live in Mexico City, Palacio de los Deportes, Mexico, September 2019","Nights of the Dead, Legacy of the Beast: Live in Mexico City",19,2020-11-20,0.159,0.178,0.959,2,-5.648,1,0.0951,0.0207,0.0196,0.937,80.827,556832,2020
"The Trooper - Live in Mexico City, Palacio de los Deportes, Mexico, September 2019","Nights of the Dead, Legacy of the Beast: Live in Mexico City",19,2020-11-20,0.242,0.186,0.995,4,-5.178,0,0.115,0.0012,0.0779,0.975,175.632,242325,2020
"Revelations - Live in Mexico City, Palacio de los Deportes, Mexico, September 2019","Nights of the Dead, Legacy of the Beast: Live in Mexico City",18,2020-11-20,0.224,0.235,0.982,9,-6.034,0,0.114,0.00123,0.00196,0.948,80.684,392277,2020
"For The Greater Good Of God - Live in Mexico City, Palacio de los Deportes, Mexico, September 2019","Nights of the Dead, Legacy of the Beast: Live in Mexico City",18,2020-11-20,0.159,0.281,0.972,4,-5.429,0,0.187,0.0036,0.0491,0.596,119.308,563488,2020
"The Wickerman - Live in Mexico City, Palacio de los Deportes, Mexico, September 2019","Nights of the Dead, Legacy of the Beast: Live in Mexico City",17,2020-11-20,0.138,0.227,0.987,7,-5.091,1,0.13,0.000261,0.0191,0.903,99.386,283630,2020
