name,album_name,year,valence
Senjutsu,Senjutsu,2021,0.466
Stratego,Senjutsu,2021,0.465
The Writing On The Wall,Senjutsu,2021,0.566
Lost In A Lost World,Senjutsu,2021,0.206
Days Of Future Past,Senjutsu,2021,0.476
The Time Machine,Senjutsu,2021,0.316
Darkest Hour,Senjutsu,2021,0.162
Death Of The Celts,Senjutsu,2021,0.26
The Parchment,Senjutsu,2021,0.212
Hell On Earth,Senjutsu,2021,0.0628
If Eternity Should Fail,The Book of Souls,2015,0.149
Speed of Light,The Book of Souls,2015,0.334
The Great Unknown,The Book of Souls,2015,0.0702
The Red and the Black,The Book of Souls,2015,0.377
When the River Runs Deep,The Book of Souls,2015,0.393
The Book of Souls,The Book of Souls,2015,0.359
Death or Glory,The Book of Souls,2015,0.316
Shadows of the Valley,The Book of Souls,2015,0.284
Tears of a Clown,The Book of Souls,2015,0.503
The Man of Sorrows,The Book of Souls,2015,0.291
Empire of the Clouds,The Book of Souls,2015,0.19
Satellite 15,The Final Frontier,2010,0.435
El Dorado,The Final Frontier,2010,0.436
Mother Of Mercy,The Final Frontier,2010,0.364
Coming Home,The Final Frontier,2010,0.467
The Alchemist,The Final Frontier,2010,0.64
Isle Of Avalon,The Final Frontier,2010,0.0739
Starblind,The Final Frontier,2010,0.217
The Talisman,The Final Frontier,2010,0.16
The Man Who Would Be King,The Final Frontier,2010,0.273
When The Wild Wind Blows,The Final Frontier,2010,0.228
Different World,A Matter of Life and Death,2006,0.602
These Colours Don't Run,A Matter of Life and Death,2006,0.228
Brighter Than a Thousand Suns,A Matter of Life and Death,2006,0.266
The Pilgrim,A Matter of Life and Death,2006,0.541
The Longest Day,A Matter of Life and Death,2006,0.337
Out of the Shadows,A Matter of Life and Death,2006,0.288
The Reincarnation of Benjamin Breeg,A Matter of Life and Death,2006,0.144
For the Greater Good of God,A Matter of Life and Death,2006,0.3
Lord of Light,A Matter of Life and Death,2006,0.0485
The Legacy,A Matter of Life and Death,2006,0.15
Wildest Dreams,Dance of Death,2003,0.57
Rainmaker,Dance of Death,2003,0.539
No More Lies,Dance of Death,2003,0.214
Montségur,Dance of Death,2003,0.215
Dance of Death,Dance of Death,2003,0.296
Gates of Tomorrow,Dance of Death,2003,0.336
New Frontier,Dance of Death,2003,0.521
Paschendale,Dance of Death,2003,0.188
Face in the Sand,Dance of Death,2003,0.214
Age of Innocence,Dance of Death,2003,0.239
Journeyman,Dance of Death,2003,0.308
The Wicker Man,Brave New World,2000,0.296
Ghost of the Navigator,Brave New World,2000,0.36
Brave New World,Brave New World,2000,0.355
Blood Brothers,Brave New World,2000,0.444
The Mercenary,Brave New World,2000,0.512
Dream of Mirrors,Brave New World,2000,0.35
The Fallen Angel,Brave New World,2000,0.319
The Nomad,Brave New World,2000,0.404
Out of the Silent Planet,Brave New World,2000,0.335
The Thin Line Between Love and Hate,Brave New World,2000,0.312
Futureal,Virtual XI,1998,0.706
The Angel and the Gambler,Virtual XI,1998,0.376
Lightning Strikes Twice,Virtual XI,1998,0.385
The Clansman,Virtual XI,1998,0.177
When Two Worlds Collide,Virtual XI,1998,0.346
The Educated Fool,Virtual XI,1998,0.244
Don't Look to the Eyes of a Stranger,Virtual XI,1998,0.473
Como Estais Amigos,Virtual XI,1998,0.148
Sign of the Cross,The X Factor,1995,0.0903
Lord of the Flies,The X Factor,1995,0.331
Man on the Edge,The X Factor,1995,0.168
Fortunes of War,The X Factor,1995,0.256
Look for the Truth,The X Factor,1995,0.093
The Aftermath,The X Factor,1995,0.224
Judgement of Heaven,The X Factor,1995,0.462
Blood on the World's Hands,The X Factor,1995,0.379
The Edge of Darkness,The X Factor,1995,0.123
2 AM,The X Factor,1995,0.187
The Unbeliever,The X Factor,1995,0.427
Be Quick or Be Dead,Fear of the Dark,1992,0.624
From Here to Eternity,Fear of the Dark,1992,0.498
Afraid to Shoot Strangers,Fear of the Dark,1992,0.366
Fear Is the Key,Fear of the Dark,1992,0.52
Childhood's End,Fear of the Dark,1992,0.328
Wasting Love,Fear of the Dark,1992,0.29
The Fugitive,Fear of the Dark,1992,0.578
Chains of Misery,Fear of the Dark,1992,0.382
The Apparition,Fear of the Dark,1992,0.693
Judas Be My Guide,Fear of the Dark,1992,0.51
Weekend Warrior,Fear of the Dark,1992,0.759
Fear of the Dark,Fear of the Dark,1992,0.227
Tailgunner,No Prayer for the Dying,1990,0.577
Holy Smoke,No Prayer for the Dying,1990,0.474
No Prayer for the Dying,No Prayer for the Dying,1990,0.583
Public Enema Number One,No Prayer for the Dying,1990,0.6
Fates Warning,No Prayer for the Dying,1990,0.139
The Assassin,No Prayer for the Dying,1990,0.599
Run Silent Run Deep,No Prayer for the Dying,1990,0.406
Hooks in You,No Prayer for the Dying,1990,0.544
Bring Your Daughter... to the Slaughter,No Prayer for the Dying,1990,0.532
Mother Russia,No Prayer for the Dying,1990,0.39
Moonchild,Seventh Son of a Seventh Son,1988,0.244
Infinite Dreams,Seventh Son of a Seventh Son,1988,0.659
Can I Play with Madness,Seventh Son of a Seventh Son,1988,0.631
The Evil That Men Do,Seventh Son of a Seventh Son,1988,0.31
Seventh Son of a Seventh Son,Seventh Son of a Seventh Son,1988,0.0948
The Prophecy,Seventh Son of a Seventh Son,1988,0.21
The Clairvoyant,Seventh Son of a Seventh Son,1988,0.467
Only the Good Die Young,Seventh Son of a Seventh Son,1988,0.275
Caught Somewhere in Time,Somewhere in Time,1986,0.343
Wasted Years,Somewhere in Time,1986,0.492
Sea of Madness,Somewhere in Time,1986,0.276
Heaven Can Wait,Somewhere in Time,1986,0.476
The Loneliness of the Long Distance Runner,Somewhere in Time,1986,0.447
Stranger in a Strange Land,Somewhere in Time,1986,0.514
Deja Vu,Somewhere in Time,1986,0.563
Alexander the Great (356-323 B.C.),Somewhere in Time,1986,0.288
Aces High,Powerslave,1984,0.756
2 Minutes to Midnight,Powerslave,1984,0.595
Losfer Words (Big 'Orra),Powerslave,1984,0.579
Flash of the Blade,Powerslave,1984,0.653
The Duellists,Powerslave,1984,0.633
Back in the Village,Powerslave,1984,0.551
Powerslave,Powerslave,1984,0.331
Rime of the Ancient Mariner,Powerslave,1984,0.143
Where Eagles Dare,Piece of Mind,1983,0.467
Revelations,Piece of Mind,1983,0.438
Flight of Icarus,Piece of Mind,1983,0.343
Die with Your Boots On,Piece of Mind,1983,0.537
The Trooper,Piece of Mind,1983,0.669
Still Life,Piece of Mind,1983,0.173
Quest for Fire,Piece of Mind,1983,0.583
Sun and Steel,Piece of Mind,1983,0.643
To Tame a Land,Piece of Mind,1983,0.229
Invaders,The Number of the Beast,1982,0.684
Children of the Damned,The Number of the Beast,1982,0.363
The Prisoner,The Number of the Beast,1982,0.617
22 Acacia Avenue,The Number of the Beast,1982,0.544
The Number of the Beast,The Number of the Beast,1982,0.268
Run to the Hills,The Number of the Beast,1982,0.458
Gangland,The Number of the Beast,1982,0.448
Hallowed Be Thy Name,The Number of the Beast,1982,0.3
The Ides of March,Killers,1981,0.333
Wrathchild,Killers,1981,0.782
Murders in the Rue Morgue,Killers,1981,0.425
Another Life,Killers,1981,0.666
Genghis Khan,Killers,1981,0.557
Innocent Exile,Killers,1981,0.652
Killers,Killers,1981,0.395
Prodigal Son,Killers,1981,0.317
Purgatory,Killers,1981,0.531
Drifter,Killers,1981,0.475
Prowler,Iron Maiden,1980,0.32
Remember Tomorrow,Iron Maiden,1980,0.548
Running Free,Iron Maiden,1980,0.764
Phantom of the Opera,Iron Maiden,1980,0.228
Transylvania,Iron Maiden,1980,0.214
Strange World,Iron Maiden,1980,0.194
Charlotte the Harlot,Iron Maiden,1980,0.463
Iron Maiden,Iron Maiden,1980,0.277
